,id,address,coord,district
701,22892,"город Москва, проспект Мира, дом 112",37.637847 55.805943,"Россия, Москва, Северо-Восточный административный округ, Алексеевский район"
702,153638,"город Москва, проспект Мира, дом 114Б",37.63835 55.808154,"Россия, Москва, Северо-Восточный административный округ, Алексеевский район"
703,147579,"город Москва, проспект Мира, дом 116",37.638 55.808948,"Россия, Москва, Северо-Восточный административный округ, Алексеевский район"
704,80359,"город Москва, проспект Мира, дом 118",37.638296 55.810663,"Россия, Москва, Северо-Восточный административный округ, Алексеевский район"
705,128154,"город Москва, проспект Мира, дом 118",37.638296 55.810663,"Россия, Москва, Северо-Восточный административный округ, Алексеевский район"
706,81505,"город Москва, проспект Мира, дом 118",37.638296 55.810663,"Россия, Москва, Северо-Восточный административный округ, Алексеевский район"
707,26149,"город Москва, проспект Мира, дом 120",37.639339 55.811771,"Россия, Москва, Северо-Восточный административный округ, Алексеевский район"
708,20704,"город Москва, проспект Мира, дом 124, корпус 4",37.639563 55.815858,"Россия, Москва, Северо-Восточный административный округ, Алексеевский район"
709,143561,"город Москва, проспект Мира, дом 180",37.646157 55.823803,"Россия, Москва, Северо-Восточный административный округ, Алексеевский район"
710,22893,"город Москва, проспект Мира, дом 186, корпус 1",37.650864 55.829011,"Россия, Москва, Северо-Восточный административный округ, Алексеевский район"
938,154596,"город Москва, Профсоюзная улица, дом 2/22",37.572378 55.687477,"Россия, Москва, Юго-Западный административный округ, Академический район"
939,29061,"город Москва, Профсоюзная улица, дом 9",37.568866 55.682422,"Россия, Москва, Юго-Западный административный округ, Академический район"
940,153091,"город Москва, Профсоюзная улица, дом 13/12",37.566467 55.680554,"Россия, Москва, Юго-Западный административный округ, Академический район"
941,23842,"город Москва, Профсоюзная улица, дом 15",37.565335 55.679509,"Россия, Москва, Юго-Западный административный округ, Академический район"
942,23853,"город Москва, Профсоюзная улица, дом 16/10",37.568938 55.68427,"Россия, Москва, Юго-Западный административный округ, Академический район"
943,27263,"город Москва, Профсоюзная улица, дом 16/10",37.568938 55.68427,"Россия, Москва, Юго-Западный административный округ, Академический район"
944,23844,"город Москва, Профсоюзная улица, дом 19",37.564248 55.678458,"Россия, Москва, Юго-Западный административный округ, Академический район"
945,21487,"город Москва, Профсоюзная улица, дом 24, корпус 1",37.564132 55.679813,"Россия, Москва, Юго-Западный административный округ, Академический район"
946,27269,"город Москва, Профсоюзная улица, дом 33, строение 1",37.557233 55.67194,"Россия, Москва, Юго-Западный административный округ, район Черёмушки, Новые Черёмушки квартал 22-23"
947,21586,"город Москва, Профсоюзная улица, дом 40, корпус 1",37.558032 55.675306,"Россия, Москва, Юго-Западный административный округ, район Черёмушки"
948,28529,"город Москва, Профсоюзная улица, дом 58/32, корпус 1",37.552328 55.669356,"Россия, Москва, Юго-Западный административный округ, Обручевский район"
949,143692,"город Москва, Профсоюзная улица, дом 98, корпус 10",37.520141 55.649886,"Россия, Москва, Юго-Западный административный округ, район Коньково, 44-47-й квартал района Коньково"
950,154938,"город Москва, Профсоюзная улица, дом 113, корпус 1",37.520285 55.63131,"Россия, Москва, Юго-Западный административный округ, район Коньково, 7-9-й микрорайон"
951,29610,"город Москва, Профсоюзная улица, дом 132, корпус 7",37.507789 55.631752,"Россия, Москва, Юго-Западный административный округ, район Тёплый Стан, 1-4-й микрорайон"
952,28530,"город Москва, Профсоюзная улица, дом 132, корпус 8",37.505319 55.63128,"Россия, Москва, Юго-Западный административный округ, район Тёплый Стан, 1-4-й микрорайон"
1424,25241,"город Москва, проспект Мира, дом 108",37.637668 55.803519,"Россия, Москва, Северо-Восточный административный округ, Алексеевский район"
1433,148879,"город Москва, Ленинградский проспект, дом 77, корпус 4",37.506091 55.805776,"Россия, Москва, Северный административный округ, район Сокол"
1453,28532,"город Москва, Профсоюзная улица, дом 140, корпус 6",37.504025 55.630111,"Россия, Москва, Юго-Западный административный округ, район Тёплый Стан, 1-4-й микрорайон"
1455,26310,"город Москва, Ленинский проспект, дом 113/1",37.498168 55.655808,"Россия, Москва, Юго-Западный административный округ, Обручевский район"
1460,23922,"город Москва, Ленинский проспект, дом 121/1, корпус 3",37.484397 55.649251,"Россия, Москва, Юго-Западный административный округ, Обручевский район"
